epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1095,0.84774,2.67959,0.00555,0.85298,0.82505,0.91802,0.77657,0.66231,1.75133,0.00576,0.000665116,0.000665116,0.000665116
2,2370.83,0.85498,0.94313,0.00553,0.90374,0.87746,0.96283,0.81155,0.67243,0.6455,0.00599,0.000892295,0.000892295,0.000892295
3,3590.82,0.74071,0.56275,0.00471,0.91851,0.92076,0.96929,0.83345,0.58472,0.47778,0.00483,0.000679473,0.000679473,0.000679473
